,title,id,release_date,popularity,genre_ids
1493,Undertaking Betty,10918,2002-10-04,1.886636,"[35, 10749]"
1494,Killing Me Softly,14365,2002-05-10,1.884258,"[18, 53, 9648, 10749]"
1495,Get a Clue,26189,2002-01-01,1.878532,"[35, 10751, 9648, 10770]"
1496,Undisputed,15070,2002-08-23,1.877354,"[28, 12, 18, 53]"
1497,Blue Crush,9266,2002-08-08,1.876423,[12]
1498,The Coast Guard,1416,2002-11-22,1.85989,"[53, 18]"
1499,Scooby-Doo,9637,2002-06-14,1.850049,"[9648, 12, 35]"
1500,Harry Potter and the Philosopher's Stone,671,2001-11-16,9.130689,"[12, 14, 10751]"
1501,The Lord of the Rings: The Fellowship of the Ring,120,2001-12-18,8.626766,"[12, 14, 28]"
1502,Donnie Darko,141,2001-01-18,7.078054,"[14, 18, 9648]"
1503,"Monsters, Inc.",585,2001-11-01,6.124579,"[14, 16, 10751, 35]"
1504,Spirited Away,129,2001-07-20,5.60813,"[14, 12, 16, 10751]"
1505,Shrek,808,2001-05-16,5.095473,"[12, 16, 35, 10751, 14]"
1506,The Mummy Returns,1734,2001-04-28,4.591139,"[28, 12, 18, 14, 27, 53]"
1507,Ocean's Eleven,161,2001-12-07,4.411438,"[53, 80]"
1508,A Beautiful Mind,453,2001-12-11,4.374477,"[18, 10749]"
1509,A.I. Artificial Intelligence,644,2001-06-29,3.889352,"[18, 878, 12]"
1510,Pearl Harbor,676,2001-05-21,3.704305,"[36, 10749, 10752]"
1511,Enemy at the Gates,853,2001-03-13,3.672528,[10752]
1512,Black Hawk Down,855,2001-12-28,3.592435,"[28, 36, 10752]"
1513,Rat Race,9896,2001-07-30,3.41503,"[12, 35]"
1514,Amélie,194,2001-04-25,3.376938,"[35, 10749]"
1515,Planet of the Apes,869,2001-07-25,3.376674,"[53, 878, 28, 12]"
1516,Shallow Hal,9889,2001-11-01,3.346663,"[35, 10749]"
1517,Bridget Jones's Diary,634,2001-04-13,3.213345,"[35, 10749, 18]"
1518,Training Day,2034,2001-10-05,3.157676,"[28, 80, 18, 53]"
1519,Scary Movie 2,4248,2001-07-04,3.151096,[35]
1520,Moulin Rouge!,824,2001-03-09,3.135204,"[10749, 18, 10402]"
1521,Band of Brothers,331214,2001-09-09,3.083187,"[28, 18, 10752]"
1522,Intimacy,11845,2001-01-20,3.083164,"[10749, 18]"
1523,Lady and the Tramp II: Scamp's Adventure,18269,2001-02-18,3.071074,[16]
1524,American Pie 2,2770,2001-08-10,2.968171,"[35, 10749]"
1525,Final Fantasy: The Spirits Within,2114,2001-07-02,2.882825,"[12, 28, 16, 14, 878, 53]"
1526,Swordfish,9705,2001-06-07,2.868073,"[28, 80, 53]"
1527,Atlantis: The Lost Empire,10865,2001-06-02,2.865613,"[16, 10751, 12, 878]"
1528,Mulholland Drive,1018,2001-05-16,2.827486,"[53, 18, 9648]"
1529,Ali,8489,2001-12-11,2.793974,[18]
1530,The Princess Diaries,9880,2001-08-03,2.76588,"[35, 10751, 10749]"
1531,A Knight's Tale,9476,2001-05-11,2.736226,"[12, 18, 10749, 28]"
1532,Lara Croft: Tomb Raider,1995,2001-06-11,2.678747,"[12, 14, 28, 53]"
1533,Vanilla Sky,1903,2001-12-10,2.668959,"[18, 9648, 10749, 878, 53]"
1534,Heartbreakers,10833,2001-03-23,2.595389,"[80, 35, 10749]"
1535,Kissing Jessica Stein,15647,2001-04-21,2.578335,[35]
1536,Rush Hour 2,5175,2001-08-03,2.538395,"[28, 35, 80, 53]"
1537,The Others,1933,2001-08-02,2.527155,"[27, 18, 9648, 53]"
1538,Black Knight,11469,2001-11-21,2.506712,"[12, 35, 14]"
1539,Legally Blonde,8835,2001-07-13,2.485149,[35]
1540,Don't Tempt Me,38874,2001-11-30,2.466137,[35]
1541,The Score,11371,2001-07-13,2.431338,"[28, 80, 53]"
1542,The Wedding Planner,2018,2001-01-26,2.369009,[35]
1543,The Royal Tenenbaums,9428,2001-10-05,2.350313,"[35, 18]"
1544,Original Sin,2057,2001-08-03,2.341751,"[18, 53, 9648, 10749]"
1545,Thir13en Ghosts,9378,2001-10-26,2.33252,"[27, 53]"
1546,The Mexican,6073,2001-03-01,2.328373,"[28, 35, 80, 10749]"
1547,Jeepers Creepers,8922,2001-07-01,2.250295,"[27, 53]"
1548,The Last Castle,2100,2001-10-19,2.228726,"[28, 18, 53]"
1549,The Affair of the Necklace,19076,2001-11-20,2.213229,"[18, 36]"
1550,The Pledge,5955,2001-01-09,2.208187,"[80, 18, 9648, 53]"
1551,Impostor,4965,2001-12-03,2.201421,"[28, 878, 53]"
1552,Ichi the Killer,9696,2001-12-22,2.183128,"[28, 35, 80, 27]"
1553,Zoolander,9398,2001-09-28,2.166347,[35]
1554,The Animal,11090,2001-06-01,2.146096,"[28, 35]"
1555,Shaolin Soccer,11770,2001-07-12,2.127141,"[28, 35]"
1556,From Hell,768,2001-10-19,2.113925,"[27, 9648, 53]"
1557,Save the Last Dance,9816,2001-01-12,2.100589,"[18, 10751, 10749, 10402]"
1558,America's Sweethearts,11467,2001-07-17,2.091204,"[35, 10749]"
1559,Conspiracy,12900,2001-05-19,2.079879,"[18, 36, 10770]"
1560,Not Another Teen Movie,11397,2001-12-07,2.024748,[35]
1561,Barbie in the Nutcracker,15167,2001-09-30,2.020081,"[16, 10751]"
1562,Sweet November,1921,2001-02-16,2.007811,"[18, 10749]"
1563,Y Tu Mamá También,1391,2001-06-08,1.969413,"[18, 10749]"
1564,Evolution,9397,2001-06-08,1.966039,"[28, 35, 878]"
1565,Serendipity,9778,2001-10-05,1.963204,"[35, 10749]"
1566,Brotherhood of the Wolf,6312,2001-01-31,1.959937,"[12, 27, 28, 36]"
1567,Blow,4133,2001-04-04,1.953314,"[80, 18]"
1568,Joy Ride,10866,2001-10-05,1.919755,"[9648, 53, 18]"
1569,Driven,10477,2001-04-27,1.89965,[28]
1570,How High,8386,2001-12-21,1.896571,[35]
1571,Gosford Park,5279,2001-11-07,1.891497,"[18, 9648, 53]"
1572,Behind Enemy Lines,8007,2001-11-17,1.867914,"[28, 18, 53, 10752]"
1573,Sex and Lucia,1364,2001-08-24,1.852109,"[18, 10749]"
1574,Rock Star,12508,2001-09-04,1.851481,"[10402, 18, 35]"
1575,15 Minutes,2749,2001-03-01,1.846719,"[28, 80, 53]"
1576,Spy Kids,10054,2001-03-18,1.836585,"[28, 35, 10751, 12]"
1577,The Center of the World,32590,2001-04-19,1.833942,"[18, 10749]"
1578,Halloweentown II: Kalabar's Revenge,34205,2001-10-12,1.831891,"[12, 10751, 14, 10770]"
1579,Vidocq,9597,2001-09-12,1.830746,"[14, 28, 53, 80, 878, 9648]"
1580,Frailty,12149,2001-11-17,1.823199,"[18, 53, 80]"
1581,Monster's Ball,1365,2001-11-11,1.821667,"[18, 10749]"
1582,Cats & Dogs,10992,2001-07-04,1.794798,"[35, 10751]"
1583,Crocodile Dundee in Los Angeles,9290,2001-04-12,1.778691,"[12, 35]"
1584,Josie and the Pussycats,19366,2001-04-06,1.770312,"[35, 10402]"
1585,Ghosts of Mars,10016,2001-08-24,1.752859,"[28, 27, 878]"
1586,Just Visiting,56715,2001-04-06,1.752793,"[35, 14, 878]"
1587,The Hole,467,2001-04-20,1.749534,"[80, 18, 27, 53]"
1588,The Closet,11444,2001-01-17,1.739457,[35]
1589,The Curse of the Jade Scorpion,2779,2001-08-05,1.72275,"[35, 80, 9648, 10749, 53]"
1590,Thirteen Conversations About One Thing,17734,2001-09-02,1.721599,[18]
1591,Prozac Nation,16229,2001-09-08,1.717848,[18]
1592,Charlotte Gray,12660,2001-12-17,1.71778,"[18, 36, 10749, 10752]"
1593,The One,10796,2001-11-02,1.716099,"[28, 878, 53]"
1594,Wasabi,2110,2001-10-31,1.689562,"[18, 28, 35]"
1595,The Matrix Revisited,14543,2001-11-19,1.686345,[99]
1596,Session 9,10972,2001-08-10,1.672412,"[27, 9648]"
1597,Don't Say a Word,12103,2001-09-28,1.663385,[53]
1598,Cowboy Bebop: The Movie,11299,2001-09-01,1.658451,"[28, 16, 878]"
1599,Joe Dirt,10956,2001-04-10,1.654655,"[9648, 12, 35, 10749, 18]"
1600,Gladiator,98,2000-05-01,8.000926,"[28, 18, 12]"
1601,Memento,77,2000-10-20,5.783488,"[9648, 53]"
1602,Cast Away,8358,2000-12-22,4.81655,"[12, 18]"
1603,Meet the Parents,1597,2000-10-06,4.430224,"[35, 10749]"
1604,Mission: Impossible II,955,2000-05-24,3.878346,"[12, 28, 53]"
1605,Snatch,107,2000-09-01,3.620275,"[53, 80]"
1606,Gone in Sixty Seconds,9679,2000-06-09,3.381595,"[28, 80, 53]"
1607,Coyote Ugly,6282,2000-07-30,3.369336,[35]
1608,American Psycho,1359,2000-04-13,3.338938,"[53, 18, 80]"
1609,Erin Brockovich,462,2000-03-17,2.997211,[18]
1610,How the Grinch Stole Christmas,8871,2000-11-17,2.953177,"[10751, 35, 14]"
1611,The Patriot,2024,2000-06-28,2.874895,"[18, 36, 10752, 28]"
1612,Chicken Run,7443,2000-06-21,2.845229,"[16, 35, 10751]"
1613,"Me, Myself & Irene",2123,2000-06-22,2.841237,[35]
1614,Charlie's Angels,4327,2000-11-02,2.818746,"[28, 12, 35, 80, 53]"
1615,Miss Congeniality,1493,2000-12-14,2.804016,"[35, 80, 28]"
1616,Billy Elliot,71,2000-05-18,2.803859,"[18, 35, 10402]"
1617,Cheeky,22705,2000-01-28,2.771051,"[35, 18, 10749]"
1618,The Tigger Movie,15655,2000-02-11,2.76319,"[16, 10751]"
1619,Hanging Up,10385,2000-02-16,2.760468,"[35, 18]"
1620,Final Destination,9532,2000-03-16,2.728988,[27]
1621,Kissing My Sister,248058,2000-04-18,2.664158,"[10749, 18]"
1622,Unbreakable,9741,2000-11-13,2.612354,"[28, 14, 53]"
1623,The Emperor's New Groove,11688,2000-12-09,2.596865,"[12, 16, 35, 10751, 14]"
1624,The Beach,1907,2000-02-11,2.562721,"[18, 12, 10749, 53]"
1625,Scream 3,4234,2000-02-03,2.549545,"[27, 9648]"
1626,Scary Movie,4247,2000-07-07,2.529699,[35]
1627,Hamlet,10688,2000-05-12,2.499002,[18]
1628,The Perfect Storm,2133,2000-03-15,2.462447,[18]
1629,What Lies Beneath,2655,2000-07-21,2.397247,"[18, 27, 9648, 53]"
1630,Remember the Titans,10637,2000-09-29,2.395925,[18]
1631,Bounce,10862,2000-11-15,2.38059,"[18, 10749]"
1632,"Dude, Where’s My Car?",8859,2000-12-15,2.376443,[35]
1633,The Cell,8843,2000-08-17,2.376297,"[27, 878, 53]"
1634,"Crouching Tiger, Hidden Dragon",146,2000-10-01,2.368951,"[12, 18, 28, 10749]"
1635,Autumn in New York,10641,2000-08-11,2.367118,"[18, 10749]"
1636,Shanghai Noon,8584,2000-05-26,2.352803,"[12, 28, 35, 37]"
1637,Dancer in the Dark,16,2000-05-17,2.346178,"[18, 80, 10402]"
1638,Under Suspicion,10562,2000-09-24,2.339365,"[9648, 53]"
1639,"O Brother, Where Art Thou?",134,2000-08-30,2.333817,"[28, 12, 35]"
1640,The Legend of Bagger Vance,4958,2000-11-02,2.323366,"[14, 18]"
1641,What Women Want,3981,2000-12-15,2.307485,"[35, 10749]"
1642,Battle Royale,3176,2000-12-16,2.307316,"[18, 53, 12]"
1643,Thirteen Days,11973,2000-12-24,2.295833,"[18, 53]"
1644,Gun Shy,29076,2000-02-04,2.262554,"[28, 35, 10749, 53]"
1645,Scarlet Diva,23990,2000-05-26,2.251768,[18]
1646,Joseph: King of Dreams,16366,2000-11-07,2.246143,"[10402, 10751, 16]"
1647,Almost Famous,786,2000-09-15,2.244086,"[18, 10402]"
1648,Down to You,10472,2000-01-21,2.227092,"[35, 18, 10751, 10749]"
1649,The Road to El Dorado,10501,2000-03-31,2.195824,"[12, 16, 35, 10751]"
1650,Loser,10642,2000-07-21,2.190616,"[18, 35, 10749, 10751]"
1651,Pitch Black,2787,2000-02-18,2.143781,"[53, 878, 28]"
1652,Shaft,479,2000-06-15,2.13193,"[28, 12, 80, 53]"
1653,Ready to Rumble,20697,2000-04-07,2.130491,"[28, 35, 18]"
1654,Vertical Limit,11678,2000-12-08,2.115301,"[28, 12, 53]"
1655,Chocolat,392,2000-12-14,2.109752,"[35, 18, 10749]"
1656,Bedazzled,1636,2000-10-19,2.094695,"[14, 35, 10749]"
1657,Life-Size,36968,2000-03-05,2.090589,"[35, 10751, 14]"
1658,Malena,10867,2000-10-27,2.070076,[18]
1659,Chain of Fools,20682,2000-09-22,2.066892,"[28, 35, 80]"
1660,Road Trip,9285,2000-05-19,2.06648,"[35, 12]"
1661,Panic,20637,2000-12-01,2.059712,"[35, 80, 18]"
1662,Return to Me,2621,2000-04-07,2.04833,"[10749, 35, 18]"
1663,Mission to Mars,2067,2000-03-10,2.04501,[878]
1664,An Extremely Goofy Movie,15653,2000-02-29,2.04225,"[16, 10751, 35]"
1665,Dinosaur,10567,2000-05-19,2.035638,"[16, 10751]"
1666,Buzz Lightyear of Star Command: The Adventure Begins,16187,2000-08-08,2.003906,"[16, 10751]"
1667,Hollow Man,9383,2000-08-04,1.998771,"[28, 878, 53]"
1668,All the Pretty Horses,21355,2000-12-11,1.987835,"[18, 10749, 37]"
1669,The Skulls,11478,2000-03-31,1.979142,"[80, 18, 53]"
1670,The 6th Day,8452,2000-11-17,1.970218,"[28, 9648, 878, 53]"
1671,The Crimson Rivers,60670,2000-09-26,1.958913,"[80, 9648, 53]"
1672,Arabian Nights,18098,2000-04-30,1.956805,"[18, 10751, 14]"
1673,Cherry Falls,12619,2000-08-25,1.941951,"[9648, 27, 53]"
1674,Common Wealth,11477,2000-09-29,1.936294,"[35, 27]"
1675,In the Mood for Love,843,2000-05-22,1.931905,"[18, 10749]"
1676,Space Cowboys,5551,2000-07-31,1.887263,"[28, 12, 53]"
1677,Gossip,18041,2000-04-21,1.880012,"[18, 9648, 53]"
1678,The Whole Nine Yards,2069,2000-02-18,1.878761,"[35, 80]"
1679,Center Stage,10560,2000-05-12,1.872693,"[18, 10402]"
1680,Help! I'm A Fish,12609,2000-10-06,1.869811,"[12, 16, 35]"
1681,Sexy Beast,11826,2000-09-13,1.868091,"[80, 18, 53]"
1682,The Family Man,5994,2000-12-12,1.863697,"[35, 18, 10749, 14]"
1683,Rules of Engagement,10479,2000-04-07,1.859909,"[28, 12, 18, 36, 10752]"
1684,Baise-moi,3134,2000-06-28,1.843645,"[80, 18, 10749, 53]"
1685,Pokémon: Spell of the Unown,10991,2000-07-08,1.820794,"[12, 14, 16, 28, 10751]"
1686,The Gift,2046,2000-12-22,1.816024,"[27, 18, 53, 9648]"
1687,Get Carter,10461,2000-10-06,1.812595,"[28, 18, 53, 80]"
1688,Requiem for a Dream,641,2000-10-27,1.810062,[18]
1689,Anatomy,1698,2000-02-03,1.802926,"[27, 53]"
1690,You Can Count on Me,14295,2000-11-17,1.800529,"[18, 10749]"
1691,DragonHeart: A New Beginning,10473,2000-08-08,1.794856,"[28, 12, 35, 14]"
1692,Escaflowne: The Movie,16990,2000-06-24,1.791373,"[16, 18, 12]"
1693,Pay It Forward,10647,2000-10-12,1.772343,"[18, 10749]"
1694,Amores perros,55,2000-06-16,1.767855,"[18, 53]"
1695,The Yards,19457,2000-04-27,1.7497,"[18, 28, 53, 80]"
1696,Wonder Boys,11004,2000-02-22,1.74842,"[35, 18]"
1697,The Replacements,10393,2000-08-07,1.742754,[35]
1698,Taxi 2,2332,2000-03-24,1.736977,"[28, 35, 80]"
1699,Joint Security Area,2440,2000-09-09,1.731057,"[10752, 18, 53]"
1700,The Matrix,603,1999-03-30,10.745149,"[28, 878]"
1701,Fight Club,550,1999-10-15,8.972231,[18]
1702,The Mummy,564,1999-05-06,5.291891,"[12, 14, 27, 28, 53]"
1703,American Beauty,14,1999-09-15,5.28783,[18]
1704,Star Wars: Episode I - The Phantom Menace,1893,1999-05-19,4.916404,"[12, 28, 878]"
1705,The Sixth Sense,745,1999-08-06,4.589333,"[9648, 53, 18]"
1706,The Green Mile,497,1999-12-10,4.403611,"[14, 18, 80]"
1707,Toy Story 2,863,1999-10-30,4.396632,"[16, 35, 10751]"
1708,The World Is Not Enough,36643,1999-11-08,4.363738,"[12, 28, 53]"
1709,American Pie,2105,1999-07-09,3.640707,"[35, 10749]"
1710,The Boondock Saints,8374,1999-01-22,3.280326,"[28, 53, 80]"
1711,10 Things I Hate About You,4951,1999-03-30,3.040743,"[35, 10749, 18]"
1712,The Iron Giant,10386,1999-08-06,2.959929,"[12, 16, 10751, 14, 878]"
1713,Blue Streak,11001,1999-09-17,2.947011,"[53, 28, 35, 80]"
1714,The Blair Witch Project,2667,1999-07-14,2.93188,"[27, 9648]"
1715,From Dusk Till Dawn 2: Texas Blood Money,12095,1999-03-16,2.921177,"[80, 28, 27, 53]"
1716,Wild Wild West,8487,1999-06-29,2.905063,"[28, 12, 35, 18, 878, 37]"
1717,Any Given Sunday,9563,1999-12-16,2.898697,[18]
1718,Sleepy Hollow,2668,1999-11-18,2.870937,"[18, 14, 53, 9648]"
1719,Tarzan,37135,1999-06-18,2.862802,"[12, 16, 18, 10751]"
1720,Ride with the Devil,22267,1999-11-24,2.786714,"[18, 10752, 10749, 37]"
1721,Cruel Intentions,796,1999-03-05,2.77568,"[18, 10749, 53]"
1722,Magnolia,334,1999-12-08,2.745276,[18]
1723,The 13th Warrior,1911,1999-08-27,2.681082,"[12, 14, 28]"
1724,Deep Blue Sea,8914,1999-07-28,2.653204,"[27, 28, 53, 878]"
1725,The Talented Mr. Ripley,1213,1999-12-25,2.595903,"[53, 80, 18]"
1726,The Virgin Suicides,1443,1999-04-21,2.584512,"[18, 10749]"
1727,The Thirteenth Floor,1090,1999-04-16,2.538103,"[53, 878, 9648]"
1728,Ghost Dog: The Way of the Samurai,4816,1999-09-13,2.533347,"[28, 80, 18]"
1729,Detroit Rock City,9781,1999-08-13,2.522942,[35]
1730,Notting Hill,509,1999-05-13,2.494392,[35]
1731,"Girl, Interrupted",3558,1999-12-21,2.397101,[18]
1732,The Mod Squad,16379,1999-03-26,2.394889,"[28, 9648, 53]"
1733,Asterix & Obelix take on Caesar,9564,1999-02-01,2.385243,"[10751, 12, 35, 14]"
1734,Body Shots,14484,1999-10-07,2.381928,"[18, 10749]"
1735,Pushing Tin,12596,1999-04-23,2.357189,"[35, 18]"
1736,The Insider,9008,1999-10-28,2.347229,"[18, 53]"
1737,Analyze This,9535,1999-03-05,2.332807,"[35, 80]"
1738,Arlington Road,1073,1999-03-19,2.327554,"[18, 53, 9648]"
1739,True Crime,10354,1999-03-19,2.322064,"[80, 18]"
1740,Big Daddy,9032,1999-06-25,2.315516,"[35, 18]"
1741,Fantasia 2000,49948,1999-12-31,2.227324,"[10402, 16, 10751, 14]"
1742,Things You Can Tell Just by Looking at Her,20067,1999-10-28,2.218788,"[18, 10749]"
1743,Entrapment,1844,1999-04-29,2.214283,"[10749, 18, 9648]"
1744,Stigmata,10307,1999-09-10,2.178106,"[27, 53]"
1745,Galaxy Quest,926,1999-12-23,2.168636,"[35, 10751, 878]"
1746,"Mystery, Alaska",15198,1999-10-01,2.165463,"[18, 35]"
1747,Being John Malkovich,492,1999-09-30,2.164378,"[14, 18, 35]"
1748,The Ninth Gate,622,1999-08-24,2.148368,"[27, 9648, 53]"
1749,End of Days,9946,1999-11-24,2.137691,"[28, 14, 27, 9648]"
1750,Random Hearts,12618,1999-10-08,2.134038,"[18, 10749]"
1751,She's All That,10314,1999-01-29,2.129665,"[35, 10749]"
1752,The Bone Collector,9481,1999-11-04,2.126213,"[18, 9648, 53, 80]"
1753,Stuart Little,10137,1999-12-17,2.079767,[14]
1754,Anna and the King,1439,1999-12-16,2.077423,"[18, 36, 10749]"
1755,Audition,11075,1999-10-06,2.073607,"[18, 27, 53]"
1756,Austin Powers: The Spy Who Shagged Me,817,1999-06-08,2.071585,"[80, 12, 28, 35, 878]"
1757,My Favorite Martian,9849,1999-02-11,2.070927,"[35, 18, 10751, 878]"
1758,At First Sight,15556,1999-01-15,2.05366,"[18, 10749]"
1759,Blast from the Past,11622,1999-02-12,1.999672,"[35, 10749]"
1760,The Hurricane,10400,1999-09-17,1.975595,[18]
1761,Eyes Wide Shut,345,1999-07-14,1.972441,[18]
1762,8MM,8224,1999-02-25,1.969774,"[53, 80, 9648]"
1763,Office Space,1542,1999-02-19,1.963154,"[35, 80]"
1764,Payback,2112,1999-02-05,1.957161,"[18, 28, 53, 80]"
1765,Three Kings,6415,1999-09-27,1.955067,"[28, 12, 35]"
1766,Baby Geniuses,22345,1999-03-12,1.946781,"[35, 10751, 878]"
1767,Oxygen,18561,1999-11-12,1.930617,"[9648, 53, 80, 18]"
1768,Runaway Bride,4806,1999-07-30,1.886937,"[35, 10749]"
1769,Titus,12524,1999-12-25,1.871127,"[18, 36, 53]"
1770,October Sky,13466,1999-02-19,1.85472,"[18, 10751]"
1771,The Astronaut's Wife,2900,1999-08-26,1.84962,"[18, 878, 53]"
1772,Bicentennial Man,2277,1999-12-17,1.841016,"[35, 878]"
1773,Universal Soldier: The Return,10366,1999-08-05,1.836837,"[28, 878]"
1774,The Man-Eater,69733,1999-08-26,1.83052,[35]
1775,Message in a Bottle,10207,1999-02-22,1.814877,[18]
1776,Dogma,1832,1999-11-12,1.800052,"[14, 35, 12]"
1777,Guest House Paradiso,10482,1999-12-03,1.773235,[35]
1778,The Thomas Crown Affair,913,1999-08-06,1.771105,"[18, 35, 80, 10749]"
1779,The Rage: Carrie 2,7341,1999-03-11,1.7686,"[27, 53, 878]"
1780,Flawless,31582,1999-11-26,1.765549,"[35, 18]"
1781,Angela's Ashes,10397,1999-12-25,1.748703,[18]
1782,Summer of Sam,10279,1999-07-02,1.736326,"[53, 18, 80, 10749]"
1783,Man on the Moon,1850,1999-12-22,1.727996,"[35, 18, 10749]"
1784,The Cider House Rules,1715,1999-12-17,1.725465,[18]
1785,Bringing Out the Dead,8649,1999-10-22,1.722018,[18]
1786,"South Park: Bigger, Longer & Uncut",9473,1999-06-30,1.721764,"[16, 35, 10402]"
1787,Romance,26338,1999-04-13,1.721529,"[18, 10749]"
1788,Urban Feel,44366,1999-04-29,1.718918,[18]
1789,Inferno,10908,1999-09-25,1.714534,"[28, 18, 10749]"
1790,Annie,26177,1999-11-07,1.706014,"[10402, 10751, 35]"
1791,Simply Irresistible,16172,1999-02-05,1.700017,[35]
1792,Double Jeopardy,10398,1999-09-24,1.676971,"[18, 9648, 53, 80]"
1793,Plunkett & MacLeane,10381,1999-01-22,1.676281,"[18, 28, 35]"
1794,Boys Don't Cry,226,1999-09-02,1.674054,"[80, 18]"
1795,The Bachelor,2020,1999-11-05,1.669913,[35]
1796,An American Tail 4: The Mystery of the Night Monster,27653,1999-02-04,1.666752,"[12, 14, 16, 878, 9648, 10751]"
1797,East Is East,10557,1999-05-14,1.663337,[35]
1798,Dudley Do-Right,17709,1999-08-27,1.660458,"[35, 10751, 10749]"
1799,The Story of Us,12220,1999-10-13,1.656014,"[35, 18, 10749]"
1800,American History X,73,1998-10-30,5.244053,[18]
1801,Saving Private Ryan,857,1998-07-24,5.21351,"[18, 36, 10752]"
1802,The Truman Show,37165,1998-06-04,4.606026,"[35, 18]"
1803,Armageddon,95,1998-07-01,3.907229,"[28, 53, 878, 12]"
1804,Mulan,10674,1998-06-18,3.393577,"[16, 10751, 12]"
1805,There's Something About Mary,544,1998-07-15,3.248632,"[10749, 35]"
1806,Fear and Loathing in Las Vegas,1878,1998-05-22,3.06327,"[12, 18, 35]"
1807,A Bug's Life,9487,1998-11-25,3.04952,"[12, 16, 35, 10751]"
1808,The Lion King 2: Simba's Pride,9732,1998-10-24,3.033303,"[16, 10751, 12]"
1809,Deep Impact,8656,1998-05-07,2.985253,"[28, 12, 18, 10749, 878, 53]"
1810,The Big Lebowski,115,1998-02-15,2.829838,"[35, 80]"
1811,Enemy of the State,9798,1998-11-20,2.80639,"[28, 18, 53]"
1812,Return to Paradise,10278,1998-08-10,2.765427,"[18, 53, 10749]"
1813,Run Lola Run,104,1998-08-20,2.757877,"[28, 18, 53]"
1814,Patch Adams,10312,1998-12-25,2.723561,"[35, 18]"
1815,The Faculty,9276,1998-12-25,2.69984,"[27, 9648, 878]"
1816,Hope Floats,9715,1998-05-29,2.69619,"[18, 10749]"
1817,Snake Eyes,8688,1998-08-07,2.6884,"[80, 9648]"
1818,What Dreams May Come,12159,1998-10-02,2.687987,"[18, 14, 10749]"
1819,Bride of Chucky,11932,1998-10-16,2.671112,"[35, 27]"
1820,Meet Joe Black,297,1998-11-12,2.648623,"[14, 18, 9648]"
1821,The Prince of Egypt,9837,1998-12-15,2.579176,"[12, 16, 18, 10751, 10402]"
1822,Blade,36647,1998-08-21,2.563003,"[27, 28]"
1823,Godzilla,929,1998-05-19,2.521307,"[878, 28, 53]"
1824,Taxi,2330,1998-04-04,2.4927,"[53, 28]"
1825,The Thin Red Line,8741,1998-12-25,2.478898,"[18, 36, 10752]"
1826,The Idiots,452,1998-04-28,2.468428,"[18, 35]"
1827,Last Night,16129,1998-10-23,2.447661,"[10749, 18, 878]"
1828,Waking Ned,10162,1998-09-15,2.445616,"[35, 10749]"
1829,Rush Hour,2109,1998-09-18,2.432113,"[28, 35, 80, 53]"
1830,Dark City,2666,1998-02-27,2.429943,"[9648, 878]"
1831,Small Soldiers,11551,1998-07-10,2.420127,"[35, 12, 14, 878, 28]"
1832,Antz,8916,1998-10-02,2.415241,"[12, 16, 35, 10751]"
1833,The X Files,846,1998-06-19,2.385627,"[9648, 878, 53]"
1834,The Mask of Zorro,9342,1998-07-16,2.380698,"[12, 35, 37, 10749, 53]"
1835,Pleasantville,2657,1998-09-17,2.371286,"[14, 18, 35]"
1836,Shakespeare in Love,1934,1998-12-11,2.313343,[36]
1837,Monella,50124,1998-01-21,2.302115,"[35, 10749]"
1838,The Last Days of Disco,16980,1998-05-29,2.297315,"[35, 18, 10749]"
1839,Out of Sight,1389,1998-06-26,2.290129,"[10749, 35, 80]"
1840,Les Misérables,4415,1998-05-01,2.273236,"[80, 18, 36, 10749]"
1841,The Negotiator,9631,1998-07-29,2.260945,"[28, 12, 80, 18, 9648, 53]"
1842,Pi,473,1998-07-10,2.221945,"[9648, 18, 53]"
1843,My Giant,47881,1998-04-10,2.191522,"[35, 18, 10751]"
1844,Lethal Weapon 4,944,1998-07-10,2.185986,"[28, 12, 35, 80, 18, 53]"
1845,Rushmore,11545,1998-09-17,2.185423,"[35, 18]"
1846,A Murder of Crows,17263,1998-12-12,2.176457,"[28, 80, 53]"
1847,Species II,10216,1998-04-10,2.175409,"[878, 28, 27]"
1848,The Prophecy II,9033,1998-01-20,2.16293,"[27, 53]"
1849,A Night at the Roxbury,9429,1998-10-01,2.146212,[35]
1850,You've Got Mail,9489,1998-12-17,2.121775,"[35, 10749]"
1851,Sphere,10153,1998-02-13,2.071877,[878]
1852,Belle's Magical World,20235,1998-02-17,2.065021,"[16, 10751]"
1853,Star Trek: Insurrection,200,1998-12-10,2.060398,"[878, 28, 12, 53]"
1854,Doctor Dolittle,3050,1998-06-22,2.058422,"[35, 10751, 14]"
1855,The Man in the Iron Mask,9313,1998-03-12,2.051104,"[28, 12, 18]"
1856,Psycho,11252,1998-12-04,2.040585,"[27, 9648, 53]"
1857,Twilight,26269,1998-03-06,2.040466,"[18, 80, 9648, 53]"
1858,Babe: Pig in the City,9447,1998-11-25,2.025497,"[12, 35, 18, 10751, 14]"
1859,Jack Frost,9745,1998-12-10,2.020774,"[35, 10751, 18, 14]"
1860,The Barber of Siberia,51300,1998-10-13,1.996565,"[35, 18, 10749]"
1861,Safe Men,16155,1998-08-17,1.982784,"[35, 80]"
1862,A Perfect Murder,1965,1998-06-04,1.96918,"[80, 53, 18]"
