,title,id,release_date,popularity,genre_ids
85,Café Society,339397,2016-05-11,4.066051,"[18, 35, 10749]"
86,Bad Moms,376659,2016-07-28,4.021692,[35]
87,Keeping Up with the Joneses,331313,2016-10-20,4.013566,"[28, 35]"
88,Bridget Jones's Baby,95610,2016-09-14,3.948243,[35]
89,Teenage Mutant Ninja Turtles: Out of the Shadows,308531,2016-06-01,3.946541,"[14, 28, 12, 35]"
90,Train to Busan,396535,2016-07-20,3.93186,"[28, 27, 53]"
91,The Light Between Oceans,283552,2016-09-02,3.931526,[18]
92,The Conjuring 2,259693,2016-05-13,3.889967,[27]
93,Elle,337674,2016-05-25,3.889362,"[18, 53]"
94,Billy Lynn's Long Halftime Walk,293767,2016-11-10,3.863123,"[18, 10752]"
95,Moana,277834,2016-11-23,3.800848,"[12, 16, 35, 10751, 14]"
96,Hell or High Water,338766,2016-08-12,3.794438,"[37, 80, 18]"
97,Ben-Hur,271969,2016-08-17,3.756985,"[12, 18, 36]"
98,The Autopsy of Jane Doe,397243,2016-12-21,3.689858,"[27, 9648]"
99,The Whole Truth,331583,2016-03-25,3.680571,"[18, 53]"
100,Jurassic World,135397,2015-06-09,50.574254,"[28, 12, 878, 53]"
101,Mad Max: Fury Road,76341,2015-05-13,27.899866,"[28, 12, 878, 53]"
102,Star Wars: The Force Awakens,140607,2015-12-15,14.110274,"[28, 12, 878, 14]"
103,Minions,211672,2015-06-17,11.723412,"[10751, 16, 12, 35]"
104,Avengers: Age of Ultron,99861,2015-04-22,11.40425,"[28, 12, 878]"
105,Terminator Genisys,87101,2015-06-23,10.803477,"[878, 28, 53, 12]"
106,Furious 7,168259,2015-04-01,10.752984,[28]
107,San Andreas,254128,2015-05-27,10.443809,"[28, 18, 53]"
108,The Martian,286217,2015-09-30,10.214255,"[18, 12, 878]"
109,Insurgent,262500,2015-03-18,10.197363,"[12, 878, 53]"
110,Cinderella,150689,2015-03-12,8.59631,"[10749, 14, 10751, 18]"
111,Kingsman: The Secret Service,207703,2015-01-29,8.528502,"[80, 35, 28, 12]"
112,The Revenant,281957,2015-12-25,8.459298,"[37, 18, 12, 53]"
113,Ant-Man,102899,2015-07-14,8.424769,"[878, 28, 12]"
114,Tomorrowland,158852,2015-05-19,8.307275,"[28, 10751, 878, 12, 9648]"
115,Chappie,198184,2015-03-04,8.264729,"[80, 28, 878]"
116,The Hunger Games: Mockingjay - Part 2,131634,2015-11-18,8.172926,"[12, 878]"
117,Mission: Impossible - Rogue Nation,177677,2015-07-23,8.086988,"[28, 12, 53]"
118,Jupiter Ascending,76757,2015-02-04,8.057897,"[878, 14, 28, 12]"
119,Pixels,257344,2015-07-16,8.037432,"[28, 35, 878]"
120,Inside Out,150540,2015-06-09,7.850337,"[35, 16, 10751]"
121,Ex Machina,264660,2015-01-21,7.752307,"[18, 878]"
122,Spectre,206647,2015-10-26,7.59384,"[28, 12, 80]"
