,genre_ids,ids,popularity,release_date,title,vote_average
93,10749,376847,1.110001,2016-01-07,Remember You,10.0
94,99,380540,1.006283,2016-01-22,Another Kind of Girl,10.0
95,99,375573,1.144921,2016-09-01,Chasing Great,10.0
96,35,377332,1.055787,2016-01-13,Get Away from Me,10.0
97,0,377089,1.016506,2016-01-08,Ash vs. LOBO and the DC Dead,10.0
98,27,283256,1.208448,2016-06-24,Hunters,10.0
99,0,407401,1.00529,2016-01-13,Perfume Anniversary 10days 2015 PPPPPPPPPP LIVE 3:5:6:9,10.0
100,99,408254,1.009469,2016-07-18,Make,10.0
101,18,408262,1.021922,2016-08-12,Bangkok Nites,10.0
102,99,397067,1.007013,2016-04-29,"Ink, Blood and Spirit",10.0
103,99,397070,1.007014,2016-04-29,"Music, Blood and Spirit",10.0
104,10749,403593,1.031165,2016-08-05,Bazodee,10.0
105,28,398892,1.005472,2016-01-29,Viraat,10.0
106,99,413361,1.020864,2016-09-12,Ice Guardians,10.0
107,0,414206,1.00692,2016-03-04,Shivalinga,10.0
108,35,415735,1.081677,2016-10-01,Sebastian Maniscalco: Why Would You Do That?,10.0
109,9648,397699,1.025526,2016-05-06,Blindness in Fate,10.0
110,18,409412,1.011057,2016-04-29,L'Appel,10.0
111,53,403514,1.014096,2016-07-01,San'75 Pachattar,10.0
112,12,411754,1.022918,2016-08-17,Diarios de Viaje,10.0
113,10752,410650,1.015456,2016-08-11,LAsjkar Di Tapal Batas,10.0
114,99,412783,1.007209,2016-04-15,24 Hour Movie Marathon V: The Marathon Strikes Back,10.0
115,0,405390,1.010374,2016-07-08,A Spoon in the Wind,10.0
116,0,412211,1.012198,2016-09-18,The Wedding Ring,10.0
117,0,414576,1.006017,2016-03-03,Chronicle of Chronic Pain,10.0
118,18,406598,1.020748,2016-06-08,Standing in the Dust,10.0
119,0,414840,1.022415,2016-09-27,Gratis,10.0
120,10749,421836,1.149291,2016-10-19,Why Does Every Handsome Guy Have a Boyfriend?!,10.0
121,10402,417955,1.0197,2016-09-23,Joe Bonamassa: Live at the Greek Theatre,10.0
122,18,427796,1.013645,2016-06-10,Royal Shakespeare Company: Hamlet,10.0
123,18,391116,1.007674,2016-04-09,"Goodbye, Ohio",10.0
124,99,383267,1.031475,2016-02-19,Crazy About Tiffany's,10.0
125,99,392657,1.00696,2016-04-07,Yorimatã,10.0
126,18,394770,1.263909,2016-06-02,11:55,10.0
127,0,395347,1.007013,2016-04-28,Unlucky,10.0
128,10402,394433,1.079288,2016-04-24,The Odyssey,10.0
129,10751,396017,1.01524,2016-02-02,The New Adventures of Peter Pan: Fairy Friendship,10.0
130,99,396559,1.007336,2016-05-08,Les Vagabonds sur Deux Roues,10.0
131,27,401558,1.011077,2016-06-10,Footsteps,10.0
132,12,399686,1.007434,2016-05-16,Dragón,10.0
133,35,400170,1.015417,2016-05-30,Pitfire of Hell,10.0
134,80,400265,1.007725,2016-05-26,Statera,10.0
135,99,412783,1.007209,2016-04-15,24 Hour Movie Marathon V: The Marathon Strikes Back,10.0
136,35,414693,1.019229,2016-09-23,Wah Taj!,10.0
137,10749,403608,1.028545,2016-06-30,Rudy Habibie,10.0
138,18,408382,1.015389,2016-08-09,"Solo, Solitude",10.0
139,0,418719,1.041615,2016-09-22,National Theatre Live: Threepenny Opera,10.0
140,35,387929,1.007761,2016-03-16,This House Has People in It,10.0
141,99,396084,1.007588,2016-05-24,Hummus! the Movie,10.0
142,0,380045,1.00598,2016-01-05,Trailer Trauma,10.0
143,99,381023,1.008664,2016-03-11,The Liberators,10.0
144,28,381934,1.008691,2016-02-05,Rage On Stage,10.0
145,99,388991,1.022353,2016-03-19,Transit Havana,10.0
146,0,384242,1.194263,2016-04-14,Medal of Victory,10.0
147,28,382562,1.019812,2016-02-14,The Taming of the Shrim,10.0
148,18,432403,1.007994,2016-01-15,Unenlightenment Supercut,10.0
149,18,432409,1.008358,2016-01-28,Ennui,10.0
150,99,447549,1.00806,2016-01-01,A nevezetes névtelen,10.0
151,35,444224,1.035294,2016-12-01,Tommy Tiernan Out Of The Whirlwind,10.0
152,0,444226,1.012334,2016-06-17,Be 5 Min. Vedę,10.0
153,0,450573,1.3085,2016-09-17,On Edge,10.0
154,28,436022,1.05112,2016-10-01,Cutey Honey: Tears,10.0
155,35,444691,1.025221,2016-10-14,Viva La Phil,10.0
156,99,446014,1.038069,2016-12-27,Inside - 80km du Mont-Blanc,10.0
157,18,450244,1.16344,2016-06-16,THE WORLD OF US,10.0
158,99,433460,1.014879,2016-08-02,Operation Wedding,10.0
159,18,433483,1.01038,2016-04-08,The Ruxpins,10.0
160,99,386070,1.007522,2016-03-04,Terence McKenna's True Hallucinations,10.0
161,99,380286,1.012687,2016-02-03,The Clown,10.0
162,99,393718,1.027294,2016-06-02,Dirty Games - The dark side of sports,10.0
163,18,352156,1.040326,2016-01-26,Looking for Grace,10.0
164,18,421800,1.008144,2016-01-18,Man aan de overkant van de straat,10.0
165,10402,411990,1.011831,2016-08-19,ENDLESS,10.0
166,16,419098,1.037112,2016-12-09,Cyborg 009: Call of Justice 3,10.0
167,0,422991,1.131565,2016-10-28,Ekşi Elmalar,10.0
168,16,420639,1.013407,2016-10-05,Paw Patrol All Wings On Deck,10.0
169,0,450573,1.3085,2016-09-17,On Edge,10.0
170,99,446014,1.038069,2016-12-27,Inside - 80km du Mont-Blanc,10.0
171,0,440207,1.153759,2016-08-12,We All Fall Down,10.0
172,10402,450202,1.1616,2016-09-27,Britney Spears: Apple Music Festival,10.0
173,18,450244,1.16344,2016-06-16,THE WORLD OF US,10.0
174,27,416883,1.008109,2016-01-08,Hood Streetz: Yowg Gangs,10.0
175,16,427409,1.019022,2016-07-01,Once Upon a Line,10.0
176,16,428442,1.046024,2016-12-01,The Raven (by Edgar Allan Poe),10.0
177,10402,433177,1.030226,2016-12-02,Emma - Adesso Tour,10.0
178,18,429239,1.031958,2016-12-07,The Sleeping Sky: An Anthology,10.0
179,99,429805,1.027197,2016-11-19,The Grown-Ups,10.0
180,10769,407145,1.009357,2016-07-18,Chess Poem,10.0
181,18,403091,1.034873,2016-06-30,The Weary Traveler,10.0
182,35,414693,1.019229,2016-09-23,Wah Taj!,10.0
183,14,408355,1.047143,2016-08-12,Throne of Elves,10.0
184,0,415280,1.011763,2016-09-10,Gennady Golovkin vs. Kell Brook,10.0
185,0,418327,1.031481,2016-09-02,Blood Is Blood,10.0
186,80,418334,1.012856,2016-09-27,Mr. Lockjaw,10.0
187,35,417666,1.008806,2016-06-28,MST3K Reunion Show,10.0
188,28,411325,1.049832,2016-08-14,Insect insert 3,10.0
189,10402,411990,1.011831,2016-08-19,ENDLESS,10.0
190,0,423000,1.024072,2016-10-27,Ring The Alarm,10.0
191,18,420097,1.020664,2016-10-08,Bullying Waterfalls,10.0
192,10402,414939,1.012162,2016-09-07,Final Fantasy XV Live at Abbey Road Studios Concert,10.0
193,10749,421836,1.149291,2016-10-19,Why Does Every Handsome Guy Have a Boyfriend?!,10.0
194,10402,423046,1.087402,2016-11-09,The Legend of King Arthur,10.0
195,12,418573,1.007473,2016-05-19,The Fellowship Of The Carlo,10.0
196,99,392594,1.005144,2016-01-01,"Hacker, Freaks und Funktionäre - Der Chaos Computer Club",10.0
197,18,390594,1.006783,2016-03-31,The 2nd Floor Misery,10.0
198,99,393718,1.027294,2016-06-02,Dirty Games - The dark side of sports,10.0
199,35,393789,1.011048,2016-01-16,Killer,10.0
200,27,408731,1.031113,2016-11-24,The Other Side of the Witching Hour,10.0
201,99,395836,1.005991,2016-02-16,Ants on a Shrimp,10.0
202,0,407401,1.00529,2016-01-13,Perfume Anniversary 10days 2015 PPPPPPPPPP LIVE 3:5:6:9,10.0
203,99,408254,1.009469,2016-07-18,Make,10.0
204,99,397067,1.007013,2016-04-29,"Ink, Blood and Spirit",10.0
205,99,412783,1.007209,2016-04-15,24 Hour Movie Marathon V: The Marathon Strikes Back,10.0
206,0,412458,1.00526,2016-01-06,Aron Flam: Kön,10.0
207,0,412875,1.013835,2016-10-07,While We Live,10.0
208,35,415735,1.081677,2016-10-01,Sebastian Maniscalco: Why Would You Do That?,10.0
209,18,403091,1.034873,2016-06-30,The Weary Traveler,10.0
210,10749,403608,1.028545,2016-06-30,Rudy Habibie,10.0
211,12,418573,1.007473,2016-05-19,The Fellowship Of The Carlo,10.0
212,16,429598,1.102117,2016-12-09,Duck the Halls: A Mickey Mouse Christmas Special,10.0
213,0,426080,1.154479,2016-12-11,Fueled: The Man They Called 'Pirate',10.0
214,18,430399,1.023694,2016-10-30,Journey of a Hero,10.0
215,80,432514,1.040001,2016-12-04,The Deleted,10.0
216,18,432590,1.068115,2016-12-31,Panarzo and the Good Ol' Days,10.0
217,28,444371,1.017244,2016-08-02,The Last Box,10.0
